noted_date,avg_temp,cnt
2018-09-06,27.411167512690355,591
2018-09-05,27.88888888888889,9
2018-12-04,28.119230769230768,260
2018-12-06,28.267123287671232,292
2018-11-27,28.448275862068964,87
